Feature,Importance,Category
E3_lag1,0.011143007,Lagged
S4_lag20,0.010164295,Lagged
V9_x_S11,0.00952901,Interaction
E3_ma5,0.009155346,Moving Average
P8,0.009141685,Price
P11_lag1,0.008715013,Lagged
E16_lag20,0.00844247,Lagged
E3_lag5,0.0080273105,Lagged
V11_lag5,0.007997481,Lagged
E2_lag1,0.007590543,Lagged
P9_lag1,0.007577819,Lagged
E11_ma5,0.0075616497,Moving Average
S8_lag1,0.0073861387,Lagged
E16_lag5,0.007335789,Lagged
I2_lag1,0.0071249325,Lagged
E16,0.0071193282,Economic
E19_lag5,0.0068517565,Lagged
P10_x_V7,0.0068011363,Interaction
P10_lag5,0.006634647,Lagged
M10_lag5,0.0066211508,Lagged
P10,0.0066079823,Price
M3_ma5,0.00658214,Moving Average
S11,0.0064668627,Sentiment
E16_lag1,0.0064629144,Lagged
V7,0.0063407673,Volatility
V9_lag5,0.0062510986,Lagged
P10_lag1,0.0062290737,Lagged
S1_lag1,0.006224271,Lagged
E19_lag20,0.006215275,Lagged
S12_lag20,0.0061644814,Lagged
M4,0.0061588897,Market
E3_lag20,0.006120578,Lagged
M11_lag20,0.006102283,Lagged
M8_lag5,0.0060792523,Lagged
V13,0.006058865,Volatility
M5_lag5,0.0060117166,Lagged
I4_lag20,0.006003254,Lagged
S8,0.0059920764,Sentiment
M9,0.005973287,Market
P11,0.005965943,Price
E2_ma5,0.005962355,Moving Average
M5_std5,0.0057671466,Rolling Std
M6_ma5,0.0057371347,Moving Average
M17,0.0056653083,Market
S8_lag20,0.005633475,Lagged
M11_lag1,0.0055557317,Lagged
P7,0.005502968,Price
E5,0.005430671,Economic
S2,0.005366878,Sentiment
S12_lag1,0.0053517562,Lagged
P10_lag20,0.0053507844,Lagged
E19_lag1,0.005265784,Lagged
M2_std5,0.005223921,Rolling Std
I2,0.0051163607,Other
V7_lag5,0.0050983056,Lagged
I3_lag1,0.005094888,Lagged
M2,0.0050699986,Market
V6,0.005068503,Volatility
M11_std5,0.005065995,Rolling Std
P9,0.00502871,Price
V3,0.005017207,Volatility
E3,0.0049704053,Economic
S1_lag20,0.004956122,Lagged
S2_lag1,0.0049435957,Lagged
M7_ma5,0.004902757,Moving Average
M10,0.0048834966,Market
M3,0.004872441,Market
P2,0.0048393845,Price
M3_std5,0.004816291,Rolling Std
E5_std5,0.004813312,Rolling Std
I4,0.0048048785,Other
V9,0.0047985064,Volatility
M2_lag5,0.004785773,Lagged
V5,0.004778987,Volatility
M1_x_S12,0.004754106,Interaction
P1_lag1,0.0047442494,Lagged
S2_lag20,0.0047397474,Lagged
M11_lag5,0.0047260392,Lagged
M6_lag20,0.00470279,Lagged
M4_lag1,0.004671137,Lagged
E18,0.004646169,Economic
E11_lag20,0.004643543,Lagged
I3_lag20,0.0046322625,Lagged
V7_lag1,0.0046309186,Lagged
M4_ma5,0.0046127117,Moving Average
I5_lag20,0.004600286,Lagged
I8,0.0045942995,Other
M6_lag5,0.0045439857,Lagged
S4_lag1,0.004519228,Lagged
I2_lag20,0.0044981474,Lagged
M10_lag20,0.004482239,Lagged
M11_ma5,0.0044819936,Moving Average
M8,0.0044695344,Market
P13,0.0044629285,Price
I4_lag1,0.0044507976,Lagged
S10,0.0044375355,Sentiment
M2_ma5,0.004400611,Moving Average
V9_lag1,0.004385216,Lagged
P11_lag20,0.0043744743,Lagged
